Payment measure name,Payment,Value of care category
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$18,291 ",Average mortality and average payment
Payment for pneumonia patients,"$16,655 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$15,128 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,"$15,966 ",Average mortality and average payment
Payment for heart attack patients,"$22,442 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$16,123 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$21,042 ",Average complications and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$19,767 ",Average mortality and average payment
Payment for pneumonia patients,"$19,616 ",Average mortality and higher payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$16,726 ",Average mortality and average payment
Payment for pneumonia patients,"$14,387 ",Average mortality and lower payment
Payment for hip/knee replacement patients,"$21,663 ",Average complications and average payment
Payment for heart failure patients,"$16,559 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$18,924 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$21,054 ",Average complications and lower payment
Payment for heart failure patients,"$16,357 ",Average mortality and average payment
Payment for heart failure patients,"$15,028 ",Average mortality and average payment
Payment for pneumonia patients,"$17,899 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,"$19,420 ",Average mortality and higher payment
Payment for heart attack patients,"$24,687 ",Average mortality and average payment
Payment for heart attack patients,"$26,812 ",Average mortality and higher payment
Payment for pneumonia patients,"$15,258 ",Average mortality and lower payment
Payment for pneumonia patients,"$19,925 ",Average mortality and higher payment
Payment for heart failure patients,"$15,601 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$17,420 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$22,449 ",Average complications and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,392 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$17,609 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$25,206 ",Average complications and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$25,885 ",Average mortality and average payment
Payment for heart failure patients,"$14,641 ",Average mortality and lower payment
Payment for heart attack patients,"$24,017 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$22,042 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$19,785 ",Average mortality and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$24,807 ",Average mortality and higher payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$16,772 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$17,106 ",Average mortality and average payment
Payment for pneumonia patients,"$16,211 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$14,114 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$17,159 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,297 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,918 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$20,565 ",Average complications and lower payment
Payment for heart failure patients,"$16,224 ",Average mortality and average payment
Payment for heart attack patients,"$22,543 ",Average mortality and average payment
Payment for pneumonia patients,"$21,439 ",Average mortality and higher payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$19,054 ",Average mortality and average payment
Payment for heart failure patients,"$12,625 ",Average mortality and lower payment
Payment for heart failure patients,"$16,409 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$14,395 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$18,189 ",Average mortality and average payment
Payment for heart attack patients,"$21,365 ",Average mortality and average payment
Payment for pneumonia patients,"$15,364 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$16,064 ",Average mortality and average payment
Payment for pneumonia patients,"$16,888 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$22,958 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$24,208 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,479 ",Average mortality and average payment
Payment for pneumonia patients,"$14,896 ",Average mortality and lower payment
Payment for heart failure patients,"$17,439 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,592 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,546 ",Average mortality and average payment
Payment for pneumonia patients,"$18,411 ",Average mortality and higher payment
Payment for heart attack patients,"$24,429 ",Average mortality and average payment
Payment for pneumonia patients,"$14,778 ",Average mortality and lower payment
Payment for heart attack patients,"$24,297 ",Average mortality and average payment
Payment for pneumonia patients,"$15,398 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$20,817 ",Average mortality and higher payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$16,457 ",Average mortality and average payment
Payment for pneumonia patients,"$20,819 ",Average mortality and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,119 ",Average complications and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,"$15,672 ",Average mortality and average payment
Payment for pneumonia patients,"$17,719 ",Average mortality and average payment
Payment for heart failure patients,"$18,742 ",Average mortality and higher payment
Payment for heart attack patients,"$21,555 ",Average mortality and average payment
Payment for heart attack patients,"$24,149 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$14,798 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$23,353 ",Average mortality and average payment
Payment for heart attack patients,"$23,422 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$14,664 ",Average mortality and average payment
Payment for heart failure patients,"$17,281 ",Average mortality and higher payment
Payment for heart attack patients,"$23,043 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$22,858 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$15,763 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$16,046 ",Average mortality and average payment
Payment for pneumonia patients,"$17,589 ",Average mortality and average payment
Payment for pneumonia patients,"$16,961 ",Average mortality and average payment
Payment for pneumonia patients,"$15,657 ",Average mortality and lower payment
Payment for heart failure patients,"$15,632 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$23,524 ",Average mortality and average payment
Payment for heart failure patients,"$17,440 ",Average mortality and average payment
Payment for pneumonia patients,"$15,272 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$22,319 ",Average complications and average payment
Payment for heart failure patients,"$15,820 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,826 ",Average mortality and average payment
Payment for pneumonia patients,"$15,174 ",Average mortality and lower payment
Payment for heart failure patients,"$17,904 ",Average mortality and higher payment
Payment for heart attack patients,"$23,715 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$14,346 ",Average mortality and average payment
Payment for pneumonia patients,"$16,567 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$14,080 ",Average mortality and lower payment
Payment for heart failure patients,"$15,182 ",Average mortality and average payment
Payment for heart failure patients,"$15,684 ",Average mortality and average payment
Payment for pneumonia patients,"$18,343 ",Average mortality and higher payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$16,990 ",Average mortality and average payment
Payment for heart attack patients,"$23,386 ",Average mortality and average payment
Payment for pneumonia patients,"$13,930 ",Average mortality and lower payment
Payment for heart failure patients,"$16,371 ",Average mortality and average payment
Payment for pneumonia patients,"$23,803 ",Average mortality and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$16,372 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$20,835 ",Average complications and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,478 ",Average mortality and average payment
Payment for heart failure patients,"$15,851 ",Average mortality and average payment
Payment for pneumonia patients,"$15,410 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$17,432 ",Average mortality and average payment
Payment for heart failure patients,"$15,893 ",Average mortality and average payment
Payment for heart failure patients,"$18,174 ",Average mortality and higher payment
Payment for hip/knee replacement patients,"$24,993 ",Average complications and higher payment
Payment for pneumonia patients,"$18,227 ",Average mortality and average payment
Payment for pneumonia patients,"$16,210 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$20,506 ",Average complications and lower payment
Payment for heart attack patients,"$23,493 ",Average mortality and average payment
Payment for pneumonia patients,"$18,323 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$23,685 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$15,687 ",Average mortality and average payment
Payment for heart failure patients,"$15,886 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,721 ",Average complications and average payment
Payment for heart failure patients,"$16,139 ",Average mortality and average payment
Payment for pneumonia patients,"$12,711 ",Average mortality and lower payment
Payment for pneumonia patients,"$18,426 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,647 ",Average mortality and average payment
Payment for heart failure patients,"$15,445 ",Average mortality and average payment
Payment for pneumonia patients,"$18,082 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$19,292 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$22,918 ",Average complications and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$13,679 ",Average mortality and lower payment
Payment for heart failure patients,"$17,341 ",Average mortality and average payment
Payment for pneumonia patients,"$15,116 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$21,723 ",Average complications and average payment
Payment for heart attack patients,"$22,720 ",Average mortality and average payment
Payment for heart failure patients,"$15,049 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$20,718 ",Average complications and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$16,267 ",Average mortality and average payment
Payment for pneumonia patients,"$16,392 ",Average mortality and average payment
Payment for pneumonia patients,"$15,227 ",Average mortality and lower payment
Payment for pneumonia patients,"$13,056 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$22,116 ",Average mortality and higher payment
Payment for hip/knee replacement patients,"$22,506 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$18,219 ",Average mortality and average payment
Payment for heart failure patients,"$14,236 ",Average mortality and average payment
Payment for pneumonia patients,"$16,704 ",Average mortality and average payment
Payment for heart attack patients,"$22,859 ",Average mortality and average payment
Payment for pneumonia patients,"$17,476 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$17,463 ",Average mortality and average payment
Payment for pneumonia patients,"$16,172 ",Average mortality and average payment
Payment for heart failure patients,"$14,833 ",Average mortality and average payment
Payment for pneumonia patients,"$16,585 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$23,892 ",Average complications and higher payment
Payment for hip/knee replacement patients,"$25,133 ",Average complications and higher payment
Payment for pneumonia patients,"$13,852 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$14,098 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$25,088 ",Average mortality and average payment
Payment for pneumonia patients,"$17,479 ",Worse mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,478 ",Average mortality and average payment
Payment for heart attack patients,"$22,619 ",Average mortality and average payment
Payment for heart failure patients,"$16,204 ",Average mortality and average payment
Payment for pneumonia patients,"$17,652 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$23,841 ",Average complications and average payment
Payment for heart attack patients,"$21,964 ",Average mortality and average payment
Payment for pneumonia patients,"$19,834 ",Average mortality and higher payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$23,086 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$15,110 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$17,340 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$19,192 ",Average mortality and higher payment
Payment for heart failure patients,"$17,778 ",Average mortality and higher payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,678 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$16,345 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$13,894 ",Average mortality and lower payment
Payment for pneumonia patients,"$19,811 ",Average mortality and higher payment
Payment for heart failure patients,"$15,666 ",Worse mortality and average payment
Payment for hip/knee replacement patients,"$20,086 ",Average complications and lower payment
Payment for pneumonia patients,"$20,920 ",Average mortality and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$16,642 ",Average mortality and average payment
Payment for heart attack patients,"$22,948 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$14,422 ",Average mortality and lower payment
Payment for pneumonia patients,"$17,899 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$20,840 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$15,236 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$22,377 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$15,046 ",Average mortality and average payment
Payment for heart attack patients,"$21,453 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,038 ",Average complications and average payment
Payment for pneumonia patients,"$17,118 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$23,120 ",Average mortality and average payment
Payment for heart failure patients,"$16,063 ",Average mortality and average payment
Payment for heart failure patients,"$17,280 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$22,546 ",Average mortality and average payment
Payment for pneumonia patients,"$17,318 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$21,982 ",Average complications and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$14,746 ",Average mortality and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$17,526 ",Average mortality and higher payment
Payment for pneumonia patients,"$17,052 ",Average mortality and average payment
Payment for heart attack patients,"$21,737 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,648 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,"$15,152 ",Average mortality and average payment
Payment for heart attack patients,"$22,126 ",Average mortality and average payment
Payment for heart failure patients,"$15,528 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$25,799 ",Average complications and higher payment
Payment for heart failure patients,"$15,270 ",Worse mortality and average payment
Payment for heart failure patients,"$16,804 ",Average mortality and average payment
Payment for heart attack patients,"$23,175 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$18,582 ",Average mortality and average payment
Payment for heart failure patients,"$15,657 ",Average mortality and average payment
Payment for heart failure patients,"$16,411 ",Average mortality and average payment
Payment for heart failure patients,"$16,623 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$14,677 ",Average mortality and lower payment
Payment for heart failure patients,"$16,207 ",Better mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,066 ",Average mortality and average payment
Payment for heart attack patients,"$22,890 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$19,939 ",Average complications and lower payment
Payment for pneumonia patients,"$17,718 ",Average mortality and average payment
Payment for heart failure patients,"$18,206 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,931 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$17,497 ",Average mortality and average payment
Payment for heart failure patients,"$13,976 ",Average mortality and lower payment
Payment for pneumonia patients,"$19,409 ",Average mortality and higher payment
Payment for pneumonia patients,"$18,313 ",Average mortality and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$21,689 ",Average complications and lower payment
Payment for pneumonia patients,"$18,664 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$16,364 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,"$24,620 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$25,536 ",Average complications and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$24,983 ",Average complications and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$18,993 ",Average mortality and higher payment
Payment for heart failure patients,"$18,445 ",Average mortality and average payment
Payment for heart failure patients,"$15,613 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$24,221 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$17,160 ",Worse mortality and average payment
Payment for pneumonia patients,"$15,289 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$16,476 ",Average mortality and average payment
Payment for heart failure patients,"$17,447 ",Average mortality and average payment
Payment for heart attack patients,"$23,941 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,514 ",Average complications and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,336 ",Average complications and average payment
Payment for hip/knee replacement patients,"$21,735 ",Average complications and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,340 ",Average mortality and average payment
Payment for pneumonia patients,"$20,759 ",Average mortality and higher payment
Payment for pneumonia patients,"$15,354 ",Average mortality and lower payment
Payment for heart failure patients,"$16,231 ",Better mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$19,565 ",Average complications and lower payment
Payment for pneumonia patients,"$16,221 ",Average mortality and average payment
Payment for pneumonia patients,"$16,165 ",Average mortality and average payment
Payment for pneumonia patients,"$13,648 ",Better mortality and lower payment
Payment for heart failure patients,"$15,830 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$14,922 ",Average mortality and lower payment
Payment for heart attack patients,"$21,199 ",Average mortality and average payment
Payment for pneumonia patients,"$17,808 ",Average mortality and average payment
Payment for pneumonia patients,"$20,323 ",Average mortality and higher payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$22,911 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,"$21,339 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,975 ",Worse mortality and average payment
Payment for pneumonia patients,"$15,782 ",Average mortality and average payment
Payment for heart failure patients,"$17,450 ",Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$22,709 ",Average mortality and average payment
Payment for pneumonia patients,"$17,787 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,223 ",Average complications and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$18,082 ",Average mortality and higher payment
Payment for pneumonia patients,"$21,460 ",Average mortality and higher payment
Payment for heart failure patients,"$17,793 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$17,103 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$21,898 ",Average complications and average payment
Payment for pneumonia patients,"$15,501 ",Average mortality and average payment
Payment for pneumonia patients,"$15,769 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$16,217 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$21,079 ",Average complications and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$15,117 ",Average mortality and lower payment
Payment for pneumonia patients,"$22,325 ",Average mortality and higher payment
Payment for pneumonia patients,"$16,680 ",Worse mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$21,129 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$17,666 ",Average mortality and average payment
Payment for pneumonia patients,"$17,842 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$18,430 ",Average complications and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$15,125 ",Average mortality and average payment
Payment for heart failure patients,"$14,689 ",Average mortality and lower payment
Payment for heart attack patients,"$24,370 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$23,716 ",Average complications and average payment
Payment for hip/knee replacement patients,"$24,747 ",Average complications and average payment
Payment for pneumonia patients,"$16,781 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$22,270 ",Average complications and average payment
Payment for pneumonia patients,"$20,833 ",Average mortality and higher payment
Payment for heart attack patients,"$24,016 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$22,580 ",Average complications and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$17,518 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$16,142 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,827 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$17,289 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$18,821 ",Average mortality and average payment
Payment for pneumonia patients,"$17,272 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,219 ",Average mortality and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$15,155 ",Average mortality and lower payment
Payment for heart attack patients,"$23,866 ",Average mortality and average payment
Payment for pneumonia patients,"$17,957 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$23,337 ",Average mortality and higher payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,"$22,757 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$23,720 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$19,269 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$14,616 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$16,063 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$14,548 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$19,021 ",Average mortality and higher payment
